id,name,description,latitude,longitude,site_type,fee,source
usfs-56,NEW RIVER,This site was Temporarily Closed around 20 years ago and never reopened,36.80361111,-80.92527778,CAMPGROUND,No Fee,usfs
usfs-77,RANGER CREEK,RANGER CREEK,47.021073,-121.537637,CAMPGROUND,No Fee,usfs
usfs-85,HENRY LAKE,,48.89016666,-115.50965,CAMPING AREA,No Fee,usfs
usfs-87,LOG LANDING,LOG LANDING (Day Use Area),47.99947222,-113.58055556,CAMPING AREA,No Fee,usfs
usfs-95,EAST BIG BELTS GFA - GIPSY CUA,,46.509,-111.21,CAMPING AREA,No Fee,usfs
usfs-98,BONITO CREEK,BONITO CREEK (Campground),33.466,-105.795,CAMPGROUND,No Fee,usfs
usfs-102,GIANT GAP RIDGE,,39.143,-120.799,CAMPING AREA,No Fee,usfs
usfs-114,A.T. DEEP GAP SHELTER,A.T. DEEP GAP SHELTER (Camping Area),34.88237,-83.64601,CAMPING AREA,No Fee,usfs
usfs-119,COW CAMP GAP A.T. SHELTER,This is an Appalachain Trail shelter.,37.74472222,-79.21333333,CAMPING AREA,No Fee,usfs
usfs-140,WATERWORKS,,48.68369444,-114.75916667,CAMPING AREA,No Fee,usfs
usfs-152,DEVILS CANYON,Site has been decommissioned.,33.32,-111.04,CAMPGROUND,No Fee,usfs
usfs-161,SMITH CREEK HUNT CAMP & BOAT RAMP,,29.91882407,-85.01392172,CAMPING AREA,No Fee,usfs
usfs-162,THIRTEEN FALLS,THIRTEEN FALLS (Campground),44.16515,-71.594967,CAMPGROUND,No Fee,usfs
usfs-194,TULE MEADOW,TULE MEADOW (Camping Area),37.001335,-119.029558,CAMPING AREA,No Fee,usfs
usfs-199,BLUEBIRD LAKE DISPERSED SITE 23,,48.94602,-114.931428,CAMPING AREA,No Fee,usfs
usfs-217,MARIAS/PALOOKAVILLE,,48.33245244,-113.1110069,CAMPING AREA,No Fee,usfs
usfs-243,FREMONT RIVER CUA DISPERSED,"Dispersed Camping Area. There are several locations along the Fremont River between Johnson Valley Reservoir and Mill Meadow Reservoir. The areas have hardened parking areas. Tent camping is permitted in meadows, while vehicle and RV camping is permitted",38.3231,-111.3231,CAMPING AREA,No Fee,usfs
usfs-259,NORTH IRON SPRINGS,NORTH IRON SPRINGS (Camping Area),40.70449918,-109.5557284,CAMPING AREA,No Fee,usfs
usfs-267,STRAWBERRY LAKE,STRAWBERRY LAKE (Camping Area),37.20310278,-119.13613611,CAMPING AREA,No Fee,usfs
usfs-274,LITTLE BAGLEY,,41.017378,-122.043056,CAMPING AREA,No Fee,usfs
usfs-280,A.T. LAUREL FORK SHELTER,A.T. LAUREL FORK SHELTER (Camping Area),36.27873849,-82.1361984,CAMPING AREA,No Fee,usfs
usfs-314,ROCK CREEK,,48.05888889,-115.62777778,CAMPING AREA,No Fee,usfs
usfs-316,GOOSE LAKE CAMPGROUND,"Camp next to a wonderful lake for paddling and breathtaking scenery. Enjoy nearby hiking, biking, and equestrian trails leading to more than 20 scenic lakes.",39.6763,-120.6362,CAMPGROUND,No Fee,usfs
usfs-325,SABE VISTA-01,,45.65200833,-114.94856833,CAMPING AREA,No Fee,usfs
